epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.788513583053242,92.26,0.001,7.507100800023181
2,0.31094963804591785,94.24,0.001,6.985743099998217
3,0.23870201157439838,95.52,0.001,6.900909199990565
4,0.1953369165095416,96.32,0.001,6.986726199975237
5,0.16829175112897699,96.68,0.001,6.9041278999939095
6,0.149722592698444,96.68,0.001,6.961215199989965
7,0.13397743038697676,97.12,0.001,6.975028499990003
8,0.12387274533185091,97.04,0.001,6.939496000006329
9,0.11513877013163133,97.22,0.001,7.327662900002906
10,0.10790018774054268,97.5,0.001,10.136120199982543
11,0.09829371259212494,97.62,0.0003,10.642354999989038
12,0.09663945170966062,97.7,0.0003,10.470597499981523
13,0.09490567042556676,97.78,0.0003,10.971017900010338
14,0.09306769530989907,97.64,0.0003,10.548175200005062
15,0.09190550935647704,97.72,0.0003,10.693556999991415
16,0.09042790395996787,97.74,0.0003,8.015875999990385
17,0.08887683967893774,97.66,0.0003,6.918285499996273
18,0.08769407667896964,97.7,0.0003,6.798249700019369
19,0.08626535001017831,97.78,0.0003,6.779182800004492
20,0.08491649351119995,97.86,0.0003,6.771932300005574
