epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.47396991128271276,0.47396991128271276,95.72,0.001,6.327609999978449
2,0.14783312983783808,0.14783312983783808,97.36,0.001,5.753179699997418
3,0.0954438771887259,0.0954438771887259,97.96,0.001,5.761119099974167
4,0.07434073709303682,0.07434073709303682,98.26,0.001,6.0257866000174545
5,0.0626874822291461,0.0626874822291461,98.42,0.001,5.982469100039452
6,0.05472413247823715,0.05472413247823715,98.34,0.001,5.995463900035247
7,0.04875253554392945,0.04875253554392945,98.64,0.001,5.999700799991842
8,0.042794799238985236,0.042794799238985236,98.56,0.001,6.004179599985946
9,0.03976332981694829,0.03976332981694829,98.6,0.001,5.9013087000348605
10,0.03571105509373275,0.03571105509373275,98.54,0.001,5.7301387000479735
11,0.0280915618695996,0.0280915618695996,98.62,0.0003,6.0831914999871515
12,0.026730184204605493,0.026730184204605493,98.66,0.0003,6.082334399980027
13,0.02568987594870004,0.02568987594870004,98.76,0.0003,6.186451100045815
14,0.024781929995255036,0.024781929995255036,98.7,0.0003,6.034093399997801
15,0.02404163539030335,0.02404163539030335,98.76,0.0003,6.01266950002173
16,0.023223198173940182,0.023223198173940182,98.68,0.0003,6.093601900036447
17,0.02261844248947772,0.02261844248947772,98.74,0.0003,6.032646600040607
18,0.021808009345423093,0.021808009345423093,98.6,0.0003,6.0929277000250295
19,0.020963260821862655,0.020963260821862655,98.76,0.0003,6.081073199980892
20,0.020181331051479685,0.020181331051479685,98.66,0.0003,5.347278000030201
