epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1489216991381213,1.1328976297421889,93.86,0.001,8.826664499996696
2,0.2503795732238076,0.2265793252554807,96.32,0.001,8.01414990000194
3,0.18405264073501934,0.1599588594003157,97.16,0.001,7.89353330002632
4,0.1525892036784779,0.1285026790120385,97.4,0.001,7.835444100026507
5,0.13544592168114403,0.11147712558074431,97.48,0.001,7.799337700009346
6,0.12220480627580123,0.09843093455379659,97.6,0.001,7.83818230003817
7,0.11350368784991177,0.08972427108071067,97.8,0.001,7.796763800026383
8,0.10817958226637407,0.08466112924922596,97.92,0.001,8.083067999978084
9,0.10198736123388463,0.0785280584064397,97.76,0.001,8.22464490000857
10,0.09842979589592327,0.07511576034372502,97.88,0.001,8.069679099950008
11,0.0916646455266259,0.06813370834697377,97.88,0.0003,8.164716599974781
12,0.09009933484684338,0.06673662238121032,98.08,0.0003,8.117751700046938
13,0.08937324284640226,0.06590657588406043,98.1,0.0003,8.09962309995899
14,0.08765875900550323,0.06430556851842187,98.1,0.0003,7.986750799987931
15,0.08716788373860446,0.06371136422319845,98.08,0.0003,8.072882199950982
16,0.08542997367707166,0.06203273786279288,98.1,0.0003,8.046368599985726
17,0.08582809200286866,0.062472999823093414,98.0,0.0003,7.9563321999739856
18,0.08484201462485573,0.06146088040254333,98.1,0.0003,8.045890300010797
19,0.08300825689218261,0.05976293278607455,98.04,0.0003,7.857923200004734
20,0.08201645005833019,0.05881453925479542,98.12,0.0003,7.903606199950445
