epoch,train_loss,train_ce_loss,validation_accuracy,learning_rate,elapsed_seconds
1,0.9477174118388783,0.9238546428810467,94.6,0.001,8.736250400019344
2,0.24356344844427977,0.21561111285253004,96.62,0.001,8.027468700020108
3,0.18046382029490038,0.15423249592130833,96.9,0.001,7.9313304999959655
4,0.1540933516480706,0.1292914702913978,97.22,0.001,7.79545659996802
5,0.13965490469282324,0.11650812874924053,97.28,0.001,6.856432200002018
6,0.1271966088143262,0.10525847055045041,97.54,0.001,6.692345200048294
7,0.11769621126001531,0.09665240299214016,97.6,0.001,7.52961480000522
8,0.1117527056032961,0.09145500878529116,97.76,0.001,7.452998299966566
9,0.1050758716323159,0.08543928179849278,97.68,0.001,7.39590419997694
10,0.09978793736154383,0.08099586376060139,97.88,0.001,7.409457800036762
11,0.09237446331110867,0.07386651209592819,97.86,0.0003,7.5811004000133835
12,0.0910476737965237,0.07257957788380709,98.08,0.0003,7.425137799989898
13,0.09093541652072559,0.07259720071662557,97.8,0.0003,7.561333599966019
14,0.08888768615722656,0.07074462856921283,97.9,0.0003,7.697146399994381
15,0.08810657951398329,0.07013728743466464,97.96,0.0003,7.619795800012071
16,0.0868236409143968,0.06896467861099677,98.06,0.0003,7.637584700016305
17,0.08672434927766973,0.06888906580805779,98.14,0.0003,8.06852670002263
18,0.08509636481025003,0.06727029073021629,97.98,0.0003,8.022723299975041
19,0.08483191253922202,0.06710941516811197,98.08,0.0003,8.05754359997809
20,0.08353575652187521,0.06577192942337556,97.82,0.0003,8.01884269999573
