epoch,train_loss,test_accuracy,elapsed_seconds
1,1.1347447263240815,83.9,31.037195899989456
2,0.463165788269043,87.84,30.352574999968056
3,0.37889547883669533,88.0,30.766306600009557
4,0.34163288758595783,89.72,30.569550900021568
5,0.3052146384398142,90.48,30.536429200030398
6,0.2876405568361282,90.51,30.491071700002067
7,0.26371720191637676,91.03,30.603449499991257
8,0.24762184727191924,90.98,30.437592899950687
9,0.23142918102741242,91.27,33.099380999978166
10,0.224794957224528,91.27,30.592484099965077
