epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.539010149491917,1.512371256867322,0.2663889075019143,89.52,0.001,9.696077099972172
2,0.4360470686609095,0.3906609399622137,0.453861284607107,92.24,0.001,9.100785899994662
3,0.35128405613899233,0.3106647249611941,0.4061933075731451,93.26,0.001,9.089220900001237
4,0.3172794257337397,0.2793503343625502,0.3792909264000979,93.56,0.001,8.956613899994409
5,0.29586676737611944,0.25982214424393396,0.36044622135595844,93.76,0.001,9.018802699982189
6,0.2827057132807645,0.2480593143939972,0.3464639812382785,94.0,0.001,9.036550899996655
7,0.27093627808961,0.2365329265767878,0.3440335074034604,94.36,0.001,8.923337700020056
8,0.2609927097147161,0.22719666121006013,0.3379604781844399,94.46,0.001,8.649572599999374
9,0.2519679709434509,0.21863247115395285,0.3333549906167117,94.32,0.001,8.637153799994849
10,0.24466277780966325,0.21193695513335142,0.3272582266894254,94.6,0.001,8.65163969999412
11,0.23479282577254557,0.20230731966062027,0.32485504648902197,94.46,0.0003,8.577994899998885
12,0.23236344072168524,0.20001047235402195,0.3235296761642803,94.86,0.0003,8.647821099992143
13,0.23243370990319687,0.20004719689976086,0.3238651280489835,94.78,0.0003,8.766776700009359
14,0.2291048539421775,0.19673024793104693,0.32374605407281354,95.02,0.0003,8.664011099986965
15,0.22919369864897293,0.1969820871374824,0.32211610630642284,94.72,0.0003,8.67832009997801
16,0.22782942697568373,0.1957607786547054,0.32068647791255606,94.92,0.0003,8.676931499998318
17,0.2253333023894917,0.1931996064121073,0.3213369498989799,95.04,0.0003,8.652265000011539
18,0.22431074065945364,0.19241468038775705,0.3189605955514041,95.2,0.0003,8.675918199995067
19,0.22283307465639982,0.19086659639965403,0.3196647747559981,95.02,0.0003,8.679987200011965
20,0.2204165508443659,0.1884489562663165,0.31967593918713655,94.86,0.0003,8.650191099994117
