epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.412501077149131,1.3826614671013573,0.29839618464816703,88.02,0.001,7.626084899995476
2,0.4792072288339788,0.4351197654984214,0.4408746146808971,91.96,0.001,6.870037700020475
3,0.38486147498217493,0.3438135061654178,0.4104796976522966,92.9,0.001,6.818221800000174
4,0.3451653986930847,0.30536584820747376,0.3979954980286685,93.24,0.001,6.818435199995292
5,0.3192901557272131,0.2810503658034585,0.38239789475527675,93.86,0.001,7.406293799984269
6,0.3022175755067305,0.2649126284512607,0.3730494733290239,93.68,0.001,8.014225199993234
7,0.2911164245865562,0.2549014958186583,0.36214927820292386,94.02,0.001,7.074308100010967
8,0.2807715202396566,0.2451215066389604,0.35650013258240437,94.24,0.001,6.9782908000051975
9,0.27297468897212634,0.23753309980739246,0.35441588551781394,93.76,0.001,7.029465799976606
10,0.2635618289080533,0.2286160952199589,0.3494573372233998,94.48,0.001,7.013560499995947
11,0.2554205176310106,0.22061800271381032,0.34802513557780873,94.28,0.0003,6.910714099998586
12,0.2534364741368727,0.21868725996667687,0.34749213550307534,94.54,0.0003,7.057063999993261
13,0.25290091208111154,0.21816668722629548,0.34734224625500765,94.24,0.0003,7.022477899998194
14,0.25196237589662723,0.21736730258464812,0.34595072935277765,94.44,0.0003,6.925922199996421
15,0.2500062207698822,0.21536509033983403,0.34641129447330127,94.5,0.0003,6.801497300009942
16,0.24860456401651557,0.2141215832861987,0.3448298037398945,94.32,0.0003,6.996379100019112
17,0.24512425982735372,0.2106608035477725,0.34463455324172976,94.76,0.0003,7.016743199987104
18,0.24393567524389786,0.20946074799407613,0.34474925839250736,94.36,0.0003,6.974233599990839
19,0.24244652454636315,0.20801608082381162,0.3443044242078608,94.4,0.0003,6.976045300019905
20,0.242481804301522,0.20778702917098998,0.3469477428739721,94.52,0.0003,7.05468960001599
