epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1793839552359147,85.44,0.001,22.736159999971278
2,0.5040416017879139,88.24,0.001,23.229786399984732
3,0.42447507781115446,90.36,0.001,24.334999700076878
4,0.39272565380443225,90.56,0.001,21.752029299968854
5,0.37417220960963854,91.36,0.001,20.785487700020894
6,0.3625342856537212,91.0,0.001,20.97707890009042
7,0.35986953006657685,90.82,0.001,20.80820169998333
8,0.3562646589539268,91.76,0.001,20.708495699916966
9,0.34559154187115754,90.66,0.001,20.68821240006946
10,0.34044413769028403,91.66,0.001,20.984503800049424
11,0.3131350077195601,91.98,0.0003,21.00495770003181
12,0.3145562017917633,91.46,0.0003,21.00932360009756
13,0.3171063182614066,92.0,0.0003,22.496795700048096
14,0.3146885359764099,91.54,0.0003,25.01934939995408
15,0.309624685569243,92.32,0.0003,23.368213000008836
16,0.3091941484928131,91.9,0.0003,22.144927500048652
17,0.30858554467721416,91.44,0.0003,22.062868500011973
18,0.30746279066259213,91.6,0.0003,20.71232780010905
19,0.3112061335260218,92.2,0.0003,21.035149200004525
20,0.30714926662878556,92.32,0.0003,20.6649911000859
