epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1470556076179852,89.72,0.001,18.23038860000088
2,0.37304897602254694,92.76,0.001,17.91988269999274
3,0.30137460900220003,93.34,0.001,18.315836699999636
4,0.2698337506315925,93.92,0.001,17.567015200009337
5,0.25008550448417666,94.28,0.001,17.896231299993815
6,0.24011656406575982,94.16,0.001,17.071674400009215
7,0.229172751751813,93.96,0.001,18.2995227999927
8,0.22022926903854717,94.4,0.001,18.059039899992058
9,0.21219959183172746,94.42,0.001,17.99604470000486
10,0.2046258981748061,94.76,0.001,17.943891000002623
11,0.1946828655871478,94.6,0.0003,18.011371500004316
12,0.19188998048522254,94.52,0.0003,17.883663700020406
13,0.19118144197680734,94.72,0.0003,18.374939699977404
14,0.18920236071456561,94.84,0.0003,18.524282800004585
15,0.18858362454067576,94.9,0.0003,18.464140600000974
16,0.18793039425503125,94.86,0.0003,17.915869899996324
17,0.1868162743134932,94.96,0.0003,18.088338800007477
18,0.18555239558003164,94.9,0.0003,15.38084749999689
19,0.18490642838911578,94.68,0.0003,18.292971399991075
20,0.1828698371887207,94.84,0.0003,18.029985600005602
