epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.3551525020599364,85.48,0.001,15.857291799999075
2,0.5809051937450063,88.36,0.001,15.07746179998503
3,0.4978281412731517,88.98,0.001,15.07449880000786
4,0.4542153095808896,90.42,0.001,15.114395999989938
5,0.42891561067754574,90.3,0.001,15.09730260001379
6,0.41140311228145254,90.62,0.001,15.079504300025292
7,0.3947349778175354,90.7,0.001,15.071219300007215
8,0.3776133448167281,91.14,0.001,15.07856829999946
9,0.36611530591791325,91.26,0.001,15.113685800024541
10,0.35481472096009686,91.4,0.001,15.097613799996907
11,0.34377617729360405,91.32,0.0003,15.099019799992675
12,0.34118892557404257,91.68,0.0003,15.137630100012757
13,0.33792580474940215,91.54,0.0003,15.107095699990168
14,0.3353064517888156,91.52,0.0003,15.09937829998671
15,0.33199226260185244,91.92,0.0003,15.124444699991727
16,0.32866399519660255,92.02,0.0003,15.111134899983881
17,0.32637755310752176,92.08,0.0003,15.093386900000041
18,0.3230143249945207,91.86,0.0003,15.182766300014919
19,0.3205782817927274,91.84,0.0003,15.064780100015923
20,0.31768087408542633,92.22,0.0003,15.084300699993037
