epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.1028727513920178,88.82,0.001,20.652859499998158
2,0.3875696323178031,91.78,0.001,20.010467000014614
3,0.32234769796891644,92.38,0.001,19.978364500013413
4,0.29337449743964455,93.06,0.001,19.98135300001013
5,0.27203235764936967,93.38,0.001,19.987406300002476
6,0.25581826451041484,92.8,0.001,19.97614280000562
7,0.24863328397707507,93.24,0.001,19.984453800017945
8,0.2439137501413172,93.82,0.001,19.98794300001464
9,0.24011087450547652,93.96,0.001,20.01229329998023
10,0.2320326338074424,93.68,0.001,19.983330999995815
11,0.22212268532839688,94.06,0.0003,19.993527199985692
12,0.2179324598529122,93.96,0.0003,19.991235399997095
13,0.21696395740075544,94.04,0.0003,19.989390600007027
14,0.21622522618987344,94.1,0.0003,19.982826399995247
15,0.21644045369408346,93.86,0.0003,19.979994900000747
16,0.21879177057526328,94.18,0.0003,20.296597200009273
17,0.21948924546458504,93.92,0.0003,20.136778900021454
18,0.21952384112098,94.04,0.0003,20.08754430001136
19,0.22048085558631203,94.06,0.0003,20.12440770000103
20,0.21571548723090778,93.84,0.0003,20.080775399983395
