epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2080349962841381,85.76,0.001,20.90766270001768
2,0.5123802947824652,88.16,0.001,20.186457499978133
3,0.4468955695108934,89.3,0.001,20.1313344000082
4,0.414241443790089,90.16,0.001,20.09679869998945
5,0.39921786634271794,89.8,0.001,20.090012400003616
6,0.3812600134936246,90.24,0.001,20.110619200015208
7,0.36409977126988496,91.14,0.001,20.073466000001645
8,0.3571800011201338,91.18,0.001,20.0654945000133
9,0.3539296530463479,91.46,0.001,20.105340000009164
10,0.3459914780660109,90.78,0.001,20.11780579999322
11,0.3235195863203569,91.56,0.0003,20.22452489999705
12,0.3260103304559534,91.42,0.0003,20.230271600012202
13,0.3230576961994171,91.76,0.0003,20.22852380000404
14,0.32395739941596985,91.92,0.0003,20.19651559999329
15,0.32647951198924674,91.46,0.0003,20.296415999997407
16,0.32392980896776374,91.42,0.0003,20.262519899988547
17,0.31880065494450655,91.66,0.0003,20.436413699993864
18,0.31661224345077166,91.9,0.0003,20.34962570000789
19,0.3156678256338293,91.72,0.0003,20.683385799988173
20,0.31546505699591204,91.76,0.0003,21.227380299998913
