epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.1599233309659092,1.1599233309659092,0.0,90.36,0.001,7.713501699996414
2,0.3616644155805761,0.3616644155805761,0.0,92.96,0.001,6.751996100007091
3,0.28901640082706104,0.28901640082706104,0.0,93.86,0.001,6.738922699994873
4,0.2565227457393299,0.2565227457393299,0.0,94.44,0.001,6.7458683000004385
5,0.23705385387810793,0.23705385387810793,0.0,94.32,0.001,6.758037899999181
6,0.22498048753738403,0.22498048753738403,0.0,94.84,0.001,6.721921799995471
7,0.2121346049005335,0.2121346049005335,0.0,94.9,0.001,6.708009599999059
8,0.20337547375939108,0.20337547375939108,0.0,94.82,0.001,6.672593499999493
9,0.1955262368809093,0.1955262368809093,0.0,95.28,0.001,6.754814999992959
10,0.1900055208119479,0.1900055208119479,0.0,95.22,0.001,6.705489899992244
11,0.17941628388058056,0.17941628388058056,0.0,95.24,0.0003,6.699477100017248
12,0.17767290904088454,0.17767290904088454,0.0,95.04,0.0003,6.714450200001011
13,0.1758313039888035,0.1758313039888035,0.0,95.44,0.0003,6.712477900000522
14,0.1745390479781411,0.1745390479781411,0.0,95.66,0.0003,6.767269200005103
15,0.17423276416605168,0.17423276416605168,0.0,95.24,0.0003,6.73270940000657
16,0.17270836447368967,0.17270836447368967,0.0,95.4,0.0003,6.767671800014796
17,0.17150340768640693,0.17150340768640693,0.0,95.44,0.0003,6.798359400010668
18,0.16980777578137138,0.16980777578137138,0.0,95.36,0.0003,6.771837600012077
19,0.16900986966219816,0.16900986966219816,0.0,95.6,0.0003,6.7142080000194255
20,0.16888338860381732,0.16888338860381732,0.0,95.36,0.0003,6.736275300005218
