epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2346105195695705,86.54,0.001,7.757866700005252
2,0.47892959592992607,89.3,0.001,6.959014499996556
3,0.40846088834675875,90.26,0.001,6.8527382999891415
4,0.3676701056437059,90.86,0.001,6.927202999999281
5,0.347980631646243,91.02,0.001,6.893840200005798
6,0.33175472200567074,91.16,0.001,6.893977600004291
7,0.32199620571569965,91.56,0.001,6.93747030000668
8,0.3136223491668701,91.78,0.001,6.986891899985494
9,0.30342661323113873,91.52,0.001,6.948616599984234
10,0.2947930118560791,91.68,0.001,6.890048600005684
11,0.2807906559120525,92.06,0.0003,6.917093300027773
12,0.2771772160313346,92.04,0.0003,6.903361500008032
13,0.27403541219017724,92.08,0.0003,6.832494999980554
14,0.2721349304329265,92.16,0.0003,6.8196440000028815
15,0.27108837322321805,91.96,0.0003,6.908110000018496
16,0.27035904775966296,91.82,0.0003,7.107551399996737
17,0.27235829411853446,91.82,0.0003,6.935113699990325
18,0.27094681668931786,91.86,0.0003,6.973835200013127
19,0.26956525238210505,92.0,0.0003,6.867212299985113
20,0.2686789229479703,91.96,0.0003,6.93062159998226
