epoch,train_loss,validation_accuracy,learning_rate,elapsed_seconds
1,1.2237563266970894,86.7,0.001,11.9410372999846
2,0.4768465852173892,89.04,0.001,11.039652200008277
3,0.4008489954991774,90.48,0.001,10.809304000023985
4,0.36161857719854873,91.02,0.001,10.837797899992438
5,0.34231315559473907,91.66,0.001,11.407118100003572
6,0.3250498173973777,92.36,0.001,14.940868099976797
7,0.3145354253335433,91.96,0.001,13.969165099988459
8,0.306042824641141,92.34,0.001,14.172237999999197
9,0.3015467029744929,92.22,0.001,14.732276900002034
10,0.2955037991913882,92.64,0.001,14.755069299979368
11,0.27814004921479657,92.56,0.0003,14.890412500011735
12,0.2755687650637193,92.78,0.0003,14.351929600001313
13,0.2745714653231881,92.88,0.0003,11.472232899977826
14,0.27047191460349346,92.78,0.0003,11.397625799989328
15,0.2686071019736203,92.9,0.0003,11.090192000003299
16,0.2674875507549806,92.96,0.0003,10.95903100000578
17,0.2658006108825857,92.84,0.0003,10.913222399976803
18,0.2652070288246328,92.98,0.0003,10.860424499987857
19,0.2635112832589583,93.38,0.0003,11.001016099995468
20,0.2632661457538605,93.14,0.0003,10.99413929998991
