epoch,train_loss,train_ce_loss,train_normalized_event_regularizer,validation_accuracy,learning_rate,elapsed_seconds
1,1.3346844331134449,1.2932994482127103,0.41384983864697544,87.3,0.001,10.371001299994532
2,0.5120959004748952,0.46148719671422783,0.5060870314381339,91.18,0.001,9.572538400010671
3,0.41435929006663236,0.36794077493927696,0.464185157996958,92.02,0.001,9.577761299966369
4,0.36682708442427897,0.32357517572749744,0.4325190903186798,92.94,0.001,9.617506700044032
5,0.3419935326749628,0.30141951337727635,0.4057401893919165,92.98,0.001,9.515379599994048
6,0.3192215496236628,0.28074581647352737,0.3847573378519578,93.8,0.001,9.502934899996035
7,0.2998508531678807,0.26296124651865527,0.36889607523137874,93.6,0.001,9.457822799973655
8,0.287137572258169,0.25160298398841513,0.35534588459621774,93.84,0.001,9.611301600001752
9,0.27743317569819365,0.24285631523782555,0.3457685972517187,94.1,0.001,9.753867499995977
10,0.26807472114562986,0.23407548259821806,0.3399923802549189,93.94,0.001,9.537854700000025
11,0.2571959674141624,0.2235398668310859,0.3365610047643835,94.28,0.0003,9.6090811000322
12,0.2542222513263876,0.22081661849672143,0.3340563266103918,94.5,0.0003,9.513098700030241
13,0.2529086981860074,0.21962207300229505,0.3328662435358221,94.42,0.0003,9.747147399990354
14,0.2524897776668722,0.21925426498976622,0.33235512369762765,94.5,0.0003,9.632524199958425
15,0.24916615982272408,0.21593612695824016,0.3323003230701793,94.52,0.0003,9.479385800019372
16,0.248108618220416,0.21495044699582186,0.33158170815814625,94.62,0.0003,9.531897600041702
17,0.24649174970713528,0.21339432797648689,0.3309742044275457,94.32,0.0003,9.47120139998151
18,0.2443610687125813,0.21133961101011797,0.3302145711725408,94.54,0.0003,8.628514099982567
19,0.24559978654818101,0.21237629462372173,0.3322349062529477,94.34,0.0003,7.831907199986745
20,0.24497345979863946,0.21190014734701676,0.33073311755440454,94.8,0.0003,8.2886369000189
